sampleId,country,city,collectionDate
AT_Mau_14_01,Austria,Mauternbach,7/20/14
AT_Mau_14_02,Austria,Mauternbach,10/19/14
AT_Mau_15_50,Austria,Mauternbach,7/20/15
AT_Mau_15_51,Austria,Mauternbach,10/19/15
AT_See_14_44,Austria,Seeboden,8/17/14
AT_See_16_1,Austria,Seeboden,8/1/16
BY_Bre_15_13,Belarus,Brest,9/11/15
CH_Cha_14_42,Switzerland,Chalet à Gobet,7/24/14
CH_Cha_14_43,Switzerland,Chalet à Gobet,10/5/14
CH_Cha_15_39,Switzerland,Chalet à Gobet,8/1/15
CH_Cha_16_38,Switzerland,Chalet à Gobet,8/15/16
CY_Nic_14_11,Cyprus,Nicosia,8/10/14
DE_Bro_14_14,Germany,Broggingen,6/26/14
DE_Bro_14_15,Germany,Broggingen,10/15/14
DE_Bro_15_53,Germany,Broggingen,6/30/15
DE_Bro_15_54,Germany,Broggingen,10/25/15
DE_Bro_16_10,Germany,Broggingen,7/24/16
DE_Bro_16_11,Germany,Broggingen,10/23/16
DE_Mun_14_31,Germany,Munich,6/19/14
DE_Mun_14_32,Germany,Munich,9/3/14
DE_Mun_15_45,Germany,Munich,6/1/15
DE_Mun_15_46,Germany,Munich,9/1/15
DE_Mun_16_12,Germany,Munich,6/25/16
DE_Mun_16_13,Germany,Munich,9/1/16
DK_Kar_14_39,Denmark,Karensminde,9/1/14
DK_Kar_14_41,Denmark,Karensminde,11/25/14
DK_Kar_16_2,Denmark,Karensminde Orchard,6/8/16
DK_Kar_16_3,Denmark,Karensminde Orchard,9/15/16
DK_Kar_16_4,Denmark,Karensminde Orchard,11/22/16
ES_Ben_16_32,Spain,Benalua,10/8/16
ES_Cor_15_33,Spain,Cortes de Baza,8/8/15
ES_Gim_14_34,Spain,Gimenells,10/20/14
ES_Gim_14_35,Spain,Gimenells,8/13/14
ES_Gim_15_30,Spain,Gimenells,6/28/15
ES_Gim_15_31,Spain,Gimenells,10/22/15
ES_Gim_16_33,Spain,Gimenells,8/25/16
ES_Gim_16_34,Spain,Gimenells,10/21/16
ES_Gua_15_32,Spain,Guadix,9/12/15
ES_Pur_16_35,Spain,Purullena. El Bejarín (Guadix),8/30/16
ES_Tom_15_28,Spain,Tomelloso,10/8/15
ES_Tom_15_29,Spain,Tomelloso,9/17/15
ES_Tom_16_36,Spain,Tomelloso,9/2/16
ES_Tom_16_37,Spain,Tomelloso,10/11/16
FI_Aka_14_36,Finland,Akaa,7/25/14
FI_Aka_14_37,Finland,Akaa,8/27/14
FI_Aka_15_34,Finland,Akaa,10/1/15
FI_Aka_15_35,Finland,Akaa,7/21/15
FI_Aka_16_5,Finland,Akaa,7/24/16
FI_Aka_16_6,Finland,Akaa,9/17/16
FI_Ves_14_38,Finland,Vesanto,7/26/14
FI_Ves_16_7,Finland,Vesanto,7/29/16
FR_Got_14_08,France,Gotheron,7/8/14
FR_Got_15_47,France,Gotheron,5/21/15
FR_Got_15_48,France,Gotheron,9/9/15
FR_Got_15_49,France,Gotheron,10/13/15
FR_Got_16_8,France,Gotheron,6/13/16
FR_Vil_14_05,France,Viltain,8/18/14
FR_Vil_14_07,France,Viltain,10/27/14
FR_Vil_15_40,France,Viltain,8/10/15
FR_Vil_15_41,France,Viltain,10/14/15
FR_Vil_16_9,France,Viltain,8/12/16
GS_Des_15_1,Guadeloupe,Deshaies,12/16/15
GS_Sai_15_2,Guadeloupe,Saint Francois,12/23/15
HU_Sze_16_14,Hungary,Szeged,8/28/16
IT_Mez_15_43,Italy,Mezzocorona,9/29/15
IT_Mez_15_44,Italy,Mezzolombardo,10/10/15
IT_Tre_16_15,Italy,Trentino (San Michele a/A),8/24/16
PO_Brz_15_12,Poland,Brzezina,9/28/15
PO_Brz_16_17,Poland,Brzezina,8/8/16
PO_Gda_16_16,Poland,Gdansk,8/1/16
PT_Rec_14_33,Portugal,Recarei,9/26/14
PT_Rec_15_16,Portugal,Recarei,9/1/15
PT_Rec_16_18,Portugal,Recarei,10/1/16
RS_Kal_16_28,Serbia,Kalna,6/30/16
RS_Kal_16_29,Serbia,Kalna,9/13/16
RS_Sla_16_30,Serbia,Slankamen. Vinogradi,6/18/16
RS_Sla_16_31,Serbia,Slankamen. Vinogradi,9/9/16
RU_Ale_15_55,Russia,Alexandrov,9/15/15
RU_Ale_16_22,Russia,Alexandrov,10/15/16
RU_Val_14_51,Russia,Valday,8/17/14
RU_Val_16_19,Russia,Valday,8/23/16
RU_Val_16_20,Russia,Valday,9/29/16
RU_Val_16_21,Russia,Valday,10/24/16
RU_tul_15_37,Russia,tula,9/20/15
RU_val_15_36,Russia,valday,8/23/15
RU_val_15_38,Russia,valday,10/5/15
SE_Lun_14_30,Sweden,Lund,7/31/14
SE_Lun_15_14,Sweden,Lund,8/24/15
SE_Lun_15_15,Sweden,Lund,8/8/15
TR_Yes_14_03,Turkey,Yesiloz,8/31/14
TR_Yes_14_04,Turkey,Yesiloz,10/23/14
TR_Yes_15_3,Turkey,Yesiloz,5/1/15
TR_Yes_15_4,Turkey,Yesiloz,6/1/15
TR_Yes_15_5,Turkey,Yesiloz,7/28/15
TR_Yes_15_6,Turkey,Yesiloz,8/27/15
TR_Yes_15_7,Turkey,Yesiloz,9/17/15
TR_Yes_15_8,Turkey,Yesiloz,10/15/15
TR_Yes_16_39,Turkey,Yesiloz TR13,5/26/16
TR_Yes_16_40,Turkey,Yesiloz TR14,6/25/16
TR_Yes_16_41,Turkey,Yesiloz TR15,7/27/16
TR_Yes_16_42,Turkey,Yesiloz TR16,8/24/16
TR_Yes_16_43,Turkey,Yesiloz TR17,9/27/16
TR_Yes_16_52,Turkey,Yesiloz TR18,10/13/16
UA_Che_14_28,Ukraine,Chornobyl (Cooling pond),9/13/14
UA_Che_14_29,Ukraine,Chornobyl Yaniv,9/13/14
